DE;EN;FR;SPECIES_CODE
Strauß;Common Ostrich;Autruche d'Afrique;ostric2
Somalistrauß;Somali Ostrich;Autruche de Somalie;ostric3
Strauß/Somalistrauß;Common/Somali Ostrich;Autruche d'Afrique ou A. de Somalie;y00934
Helmkasuar;Southern Cassowary;Casoar à casque;soucas1
Bennettkasuar;Dwarf Cassowary;Casoar de Bennett;dwacas1
Einlappenkasuar;Northern Cassowary;Casoar unicaronculé;norcas1
Emu;Emu;Émeu d'Australie;emu1
Südstreifenkiwi;Southern Brown Kiwi;Kiwi austral;sobkiw1
Südstreifenkiwi (australis);Southern Brown Kiwi (South I.);Kiwi austral (australis);sobkiw2
Südstreifenkiwi (lawryi);Southern Brown Kiwi (Stewart I.);Kiwi austral (lawryi);sobkiw3
Okaritokiwi;Okarito Brown Kiwi;Kiwi d'Okarito;okbkiw1
Nordstreifenkiwi;North Island Brown Kiwi;Kiwi de Mantell;nibkiw1
Südstreifen- x Nordstreifenkiwi (Hybrid);Southern Brown x North Island Brown Kiwi (hybrid);Hybride Kiwi austral x K. de Mantell;x01217
Zwergkiwi;Little Spotted Kiwi;Kiwi d'Owen;liskiw1
Okarito- x Zwergkiwi (Hybrid);Okarito Brown x Little Spotted Kiwi (hybrid);Hybride Kiwi d'Okarito x K. d'Owen;x01059
Haastkiwi;Great Spotted Kiwi;Kiwi roa;grskiw1
Kiwi, unbestimmt;kiwi sp.;kiwi sp.;kiwi1
Nandu;Greater Rhea;Nandou d'Amérique;grerhe1
Darwinnandu;Lesser Rhea;Nandou de Darwin;lesrhe2
Darwinnandu (tarapacensis/garleppi);Lesser Rhea (Puna);Nandou de Darwin (tarapacensis/garleppi);lesrhe4
Darwinnandu (pennata);Lesser Rhea (Darwin's);Nandou de Darwin (pennata);lesrhe3
Punatinamu;Puna Tinamou;Tinamou quioula;puntin1
Patagonientinamu;Patagonian Tinamou;Tinamou de Patagonie;pattin1
Schmucktinamu;Quebracho Crested-Tinamou;Tinamou superbe;quctin1
Perltinamu;Elegant Crested-Tinamou;Tinamou élégant;elctin1
Perltinamu [intermedia-Gruppe];Elegant Crested-Tinamou (Northern);Tinamou élégant (groupe intermedia);elecrt11
Perltinamu [elegans-Gruppe];Elegant Crested-Tinamou (Southern);Tinamou élégant (groupe elegans);elecrt12
Pfauentinamu;Dwarf Tinamou;Tinamou carapé;dwatin1
Weißbauchtinamu;White-bellied Nothura;Tinamou boraquira;whbnot1
Wachteltinamu;Lesser Nothura;Petit Tinamou;lesnot1
Darwintinamu;Darwin's Nothura;Tinamou de Darwin;darnot1
Fleckentinamu;Spotted Nothura;Tinamou tacheté;sponot1
Weißbauch-/Fleckentinamu;White-bellied/Spotted Nothura;Tinamou boraquira ou T. tacheté;y01225
Wachtel-/Fleckentinamu;Lesser/Spotted Nothura;Petit Tinamou ou T. tacheté;y01226
Darwin-/Fleckentinamu;Darwin's/Spotted Nothura;Tinamou de Darwin ou T. tacheté;y01375
Streifenhalstinamu;Huayco Tinamou;Tinamou huayco;huatin1
Rotflügeltinamu;Red-winged Tinamou;Tinamou isabelle;rewtin1
Cordobatinamu;Brushland Tinamou;Tinamou sauvageon;brutin1
Andentinamu;Andean Tinamou;Tinamou des Andes;andtin1
Andentinamu [oustaleti-Gruppe];Andean Tinamou (Northern);Tinamou des Andes (groupe oustaleti);andtin10
Andentinamu [pentlandii-Gruppe];Andean Tinamou (Southern);Tinamou des Andes (groupe pentlandii);andtin11
Krummschnabeltinamu;Curve-billed Tinamou;Tinamou curvirostre;cubtin1
Pisaccatinamu;Ornate Tinamou;Tinamou orné;orntin1
Taczanowskitinamu;Taczanowski's Tinamou;Tinamou de Taczanowski;tactin1
Chiletinamu;Chilean Tinamou;Tinamou perdrix;chitin1
Nothoprocta, unbestimmt;Nothoprocta sp.;Nothoprocta sp.;nothop1
Gelbbrusttinamu;Tawny-breasted Tinamou;Tinamou à tête rousse;tabtin1
Kapuzentinamu;Hooded Tinamou;Tinamou à capuchon;hootin1
Bergtinamu;Highland Tinamou;Tinamou de Bonaparte;higtin1
Bergtinamu (frantzii);Highland Tinamou (Costa Rican);Tinamou de Bonaparte (frantzii);higtin3
Bergtinamu [bonapartei-Gruppe];Highland Tinamou (South American);Tinamou de Bonaparte (groupe bonapartei);higtin2
Großtinamu;Great Tinamou;Grand Tinamou;gretin1
Zimttinamu;Solitary Tinamou;Tinamou solitaire;soltin1
Taotinamu;Gray Tinamou;Tinamou tao;grytin1
Weißkehltinamu;White-throated Tinamou;Tinamou à gorge blanche;whttin1
Schwarztinamu;Black Tinamou;Tinamou noir;blatin1
Schwarztinamu (hershkovitzi);Black Tinamou (Colombian);Tinamou noir (hershkovitzi);blktin1
Schwarztinamu (osgoodi);Black Tinamou (Peruvian);Tinamou noir (osgoodi);blktin2
Tinamus, unbestimmt;Tinamus sp.;Tinamus sp.;tinamu1
Berlepschtinamu;Berlepsch's Tinamou;Tinamou de Berlepsch;bertin1
Grautinamu;Cinereous Tinamou;Tinamou cendré;cintin1
Tepuitinamu;Tepui Tinamou;Tinamou des tépuis;teptin1
Kleinschnabeltinamu;Small-billed Tinamou;Tinamou à petit bec;smbtin1
Tataupatinamu;Tataupa Tinamou;Tinamou tataupa;tattin1
Kastanientinamu;Brown Tinamou;Tinamou brun;brotin1
